2020-04-15 20:01:59,182: custodian.cache:DEBUG Disabling cache
2020-04-15 20:01:59,183: custodian.commands:DEBUG Loaded file /home/custodian/ebs-snap-policy.yml. Contains 1 policies
2020-04-15 20:01:59,198: custodian.aws:DEBUG using default region:us-west-1 from boto
2020-04-15 20:01:59,546: custodian.reports:DEBUG Found 1083 records for region us-west-1
2020-04-15 20:01:59,547: custodian.reports:DEBUG Uniqued from 1083 to 1083
SnapshotId,VolumeId,tag:InstanceId,VolumeSize,StartTime,State
snap-0369e6dad2a83d81a,vol-01bf4351fbc0ea942,,250,2018-10-30T06:19:16+00:00,completed
snap-0a2bc950b882905f8,vol-06f973a2d0946145b,,40,2018-10-30T04:11:49+00:00,completed
snap-0a85321dfed1ab8f7,vol-0c7bf0f4e2f6863bb,,40,2018-10-29T21:35:29+00:00,completed
snap-0a50665e5b046654a,vol-0c6e40578f7933657,,250,2018-10-29T20:00:37+00:00,completed
snap-09bd3a9a7e04d6545,vol-0088665649d8db10f,,20,2018-10-29T20:00:37+00:00,completed
snap-02a26139585e246db,vol-0b615dd3ae8169944,,150,2018-10-29T09:59:45+00:00,completed
snap-02faac7db33345fa9,vol-01bf4351fbc0ea942,,250,2018-10-29T06:19:16+00:00,completed
snap-0dd591da99644b94d,vol-06f973a2d0946145b,,40,2018-10-29T04:11:48+00:00,completed
snap-0ea4ae29555ded984,vol-0c7bf0f4e2f6863bb,,40,2018-10-28T21:35:28+00:00,completed
snap-054e8ed243330d987,vol-0c6e40578f7933657,,250,2018-10-28T20:00:37+00:00,completed
snap-0436bf1ebaf36f860,vol-0088665649d8db10f,,20,2018-10-28T20:00:37+00:00,completed
snap-037132aab441003a7,vol-0b615dd3ae8169944,,150,2018-10-28T09:59:44+00:00,completed
snap-0760f9f2da9e95877,vol-01bf4351fbc0ea942,,250,2018-10-28T06:19:16+00:00,completed
snap-0112145a05ce78487,vol-06f973a2d0946145b,,40,2018-10-28T04:11:48+00:00,completed
snap-05fffe9d4b6f2ec6c,vol-0c7bf0f4e2f6863bb,,40,2018-10-27T21:35:29+00:00,completed
snap-0c9802db19579d8f8,vol-0088665649d8db10f,,20,2018-10-27T20:00:36+00:00,completed
snap-0cc56aaed68b9aed5,vol-0c6e40578f7933657,,250,2018-10-27T20:00:36+00:00,completed
snap-026977ae76a515b7c,vol-00d6a9148a45e8974,,20,2018-10-27T17:46:35+00:00,completed
snap-0fd37c8d66f717d9d,vol-0b615dd3ae8169944,,150,2018-10-27T09:59:45+00:00,completed
snap-083b1b1756b3e678b,vol-01bf4351fbc0ea942,,250,2018-10-27T06:19:16+00:00,completed
snap-0f760d79caa349f54,vol-06f973a2d0946145b,,40,2018-10-27T04:11:49+00:00,completed
snap-02a3fdc22626182b1,vol-0c7bf0f4e2f6863bb,,40,2018-10-26T21:35:28+00:00,completed
snap-08ab776ef1686cb40,vol-0c6e40578f7933657,,250,2018-10-26T20:00:36+00:00,completed
snap-0d97583646786df8a,vol-0088665649d8db10f,,20,2018-10-26T20:00:36+00:00,completed
snap-04aabc3bcd9c7d3df,vol-0b615dd3ae8169944,,150,2018-10-26T09:59:44+00:00,completed
snap-003b531b2b2f8f961,vol-01bf4351fbc0ea942,,250,2018-10-26T06:19:15+00:00,completed
snap-0ae8eb7e5ef29c68c,vol-06f973a2d0946145b,,40,2018-10-26T04:11:48+00:00,completed
snap-02baa78e44aff07ab,vol-0c7bf0f4e2f6863bb,,40,2018-10-25T21:35:28+00:00,completed
snap-02c261b5e95dc456e,vol-0088665649d8db10f,,20,2018-10-25T20:00:37+00:00,completed
